acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre_class
0.0338,0.537,224493,0.903,1.53e-05,0,0.341,-3.997,0,0.0505,120.069,4,0.571,0
0.151,0.428,353027,0.662,1.84e-06,4,0.215,-5.433,1,0.0295,71.515,4,0.367,0
0.137,0.257,308667,0.803,0.0156,7,0.297,-3.886,1,0.0411,150.818,4,0.294,0
0.103,0.313,394400,0.58,0,5,0.214,-5.61,1,0.0279,165.038,3,0.181,0
0.0529,0.435,346587,0.733,0,2,0.104,-5.39,1,0.0303,72.844,4,0.236,0
0.00482,0.476,230667,0.897,2.38e-05,9,0.152,-4.237,0,0.0627,152.497,4,0.667,0
0.442,0.425,308933,0.37,0,2,0.117,-7.775,1,0.0268,66.338,4,0.161,0
0.0475,0.551,316707,0.971,0,9,0.0922,-3.793,1,0.0335,118.662,4,0.81,0
0.0598,0.553,335240,0.611,2.33e-05,7,0.0958,-9.967,1,0.0348,78.683,4,0.37,0
0.032,0.377,231679,0.629,0,6,0.0777,-7.243,0,0.0341,140.044,4,0.14,0
0.143,0.51,341667,0.51,0,3,0.0479,-9.705,0,0.0293,140.156,4,0.305,0
0.411,0.581,319427,0.658,0,8,0.615,-10.3,1,0.0242,92.04,4,0.68,0
0.0197,0.47,316893,0.831,0,0,0.0813,-4.493,1,0.0539,178.184,4,0.57,0
0.00919,0.62,297333,0.711,0.000159,5,0.384,-7.461,0,0.0298,99.003,4,0.565,0
0.566,0.565,154933,0.234,0,8,0.0851,-13.887,1,0.0261,77.007,4,0.434,0
0.00502,0.46,269200,0.944,0.0104,7,0.373,-5.598,1,0.0437,164.158,4,0.57,0
0.0505,0.611,289599,0.942,0,3,0.115,-8.463,1,0.0595,128.051,4,0.699,0
0.199,0.538,279573,0.565,0,6,0.0615,-9.399,1,0.0281,119.236,4,0.474,0
0.0888,0.431,332240,0.412,0.000184,7,0.442,-12.197,1,0.032,152.945,4,0.347,0
0.00313,0.674,177293,0.685,0.0586,8,0.313,-9.137,1,0.0415,130.102,4,0.237,0
0.0209,0.919,270506,0.541,0,2,0.341,-9.545,1,0.0551,120.03,4,0.674,0
0.399,0.716,202267,0.807,0,9,0.315,-5.512,1,0.105,122.023,4,0.789,0
0.818,0.52,286293,0.402,0,4,0.128,-6.729,1,0.0278,160.161,3,0.253,0
0.108,0.584,354253,0.587,0,2,0.0582,-5.699,1,0.0284,140.017,4,0.201,0
0.0214,0.604,227307,0.81,3.55e-06,8,0.0747,-5.3,1,0.0475,119.942,4,0.492,0
0.83,0.631,301253,0.435,0,4,0.268,-7.419,1,0.0262,137.94,4,0.296,0
0.488,0.387,260080,0.318,0,4,0.0734,-9.952,1,0.0283,151.339,4,0.297,0
0.822,0.49,348720,0.238,0,5,0.103,-10.079,1,0.0327,165.789,3,0.16,0
0.373,0.461,250533,0.456,0.001,2,0.112,-6.178,1,0.0269,131.114,4,0.133,0
0.319,0.688,319093,0.548,0,7,0.0848,-7.342,1,0.0266,124.994,4,0.58,0
0.0404,0.575,215227,0.772,0,11,0.591,-6.191,0,0.0541,126.101,4,0.724,0
0.413,0.722,296307,0.448,0,4,0.0908,-8.091,1,0.0278,130.01,4,0.484,0
0.109,0.333,284600,0.79,0,0,0.115,-6.802,1,0.0386,180.356,4,0.534,0
0.375,0.216,308800,0.668,0.00318,4,0.296,-12.937,0,0.0952,174.442,4,0.355,0
0.151,0.384,275693,0.846,7.73e-05,7,0.0913,-5.591,1,0.0365,90.172,4,0.272,0
0.147,0.48,232133,0.887,0.00011,7,0.33,-4.91,1,0.0319,92.971,4,0.69,0
0.00582,0.403,399693,0.88,0.000508,0,0.319,-5.872,1,0.0532,100.457,4,0.235,0
0.0131,0.346,446707,0.487,0.0132,6,0.084,-7.321,0,0.0311,143.834,4,0.237,0
0.00171,0.503,248547,0.943,4.1e-05,9,0.253,-4.951,0,0.0403,125.861,4,0.536,0
0.0794,0.489,199946,0.885,3.42e-05,2,0.111,-5.988,1,0.0822,130.608,4,0.429,0
0.000108,0.401,416173,0.981,0.059,5,0.287,-4.239,0,0.0685,95.535,4,0.546,0
0.0019,0.231,210293,0.952,2.09e-06,9,0.081,-4.759,0,0.128,137.343,4,0.174,0
0.579,0.541,187907,0.439,0,11,0.358,-20.135,1,0.867,92.199,4,0.641,0
9.34e-05,0.404,295320,0.974,0.441,8,0.0752,-4.192,1,0.0667,93.955,4,0.328,0
0.0103,0.542,216933,0.853,0,3,0.108,-6.407,0,0.0498,105.256,4,0.37,0
0.0046,0.496,185587,0.863,0,9,0.639,-4.153,1,0.0381,110.018,4,0.243,0
0.0141,0.623,205613,0.93,1.64e-06,5,0.138,-5.285,1,0.0324,120.119,4,0.287,0
0.904,0.593,255067,0.2,0,8,0.0897,-11.063,1,0.0311,83.966,4,0.17,0
0.0603,0.687,205733,0.793,0,2,0.582,-4.254,1,0.166,107.045,4,0.751,0
0.0484,0.59,169801,0.671,0,9,0.0604,-6.098,1,0.0706,149.982,4,0.438,0
0.114,0.529,166373,0.967,0,1,0.61,-3.647,0,0.0508,140.127,4,0.596,0
0.0466,0.58,208960,0.702,3.2e-06,4,0.536,-5.565,1,0.0337,105.076,4,0.299,0
0.0014,0.492,157333,0.969,1.32e-06,9,0.0787,-4.419,1,0.0491,95.136,4,0.538,0
0.00022,0.524,184867,0.939,0,9,0.623,-3.994,1,0.113,150.184,4,0.661,0
0.027,0.453,233245,0.894,0,5,0.378,-2.759,1,0.096,124.996,4,0.212,0
0.00534,0.493,345174,0.926,6.37e-05,5,0.383,-4.983,1,0.11,149.974,4,0.346,0
0.00452,0.671,340080,0.82,0.000582,5,0.507,-5.093,1,0.162,128.021,4,0.536,0
0.104,0.588,240703,0.848,0,7,0.0838,-4.279,0,0.0389,140.051,4,0.272,0
0.00506,0.569,297627,0.89,4.42e-06,5,0.167,-3.742,1,0.0781,124.966,4,0.193,0
0.00273,0.751,293194,0.954,0.00149,8,0.0499,-4.859,1,0.362,128.0,4,0.331,0
0.925,0.522,185156,0.354,0.000743,2,0.237,-10.278,0,0.028,94.99,4,0.313,0
1.97e-05,0.514,157727,0.596,0.709,6,0.042,-11.363,0,0.0283,95.086,4,0.328,0
0.0983,0.632,342173,0.586,0.581,0,0.0535,-11.333,1,0.0284,114.243,4,0.89,0
0.0283,0.298,368507,0.895,0.00574,9,0.305,-7.647,0,0.0547,173.737,4,0.544,0
0.00383,0.526,328427,0.713,0.0103,2,0.379,-7.623,1,0.0253,97.571,4,0.566,0
0.00542,0.586,264973,0.664,0.134,10,0.118,-9.077,1,0.0491,108.345,4,0.181,0
0.0109,0.38,364747,0.938,0.0257,7,0.366,-6.183,1,0.0384,96.653,4,0.604,0
